store_id,store_size,store_rating,beat_id,region,city,lat,lon,sale_date,category,product,price,units_sold,amount,customer_rating
N1-002,Large,3.7,N1,North,Rangpur,25.764962502767027,89.28392117238712,2024-10-10,Sports,Football,9872.27220362489,16,157956.36,3.7
N1-002,Large,3.7,N1,North,Rangpur,25.77161030388707,89.2844055444153,2025-06-10,Sports,Cricket Bat,1079.7786501855621,22,23755.13,3.6
N1-002,Large,3.7,N1,North,Rangpur,25.764050799938914,89.27908229096047,2024-11-10,Beauty,Sunscreen,2118.456244928292,79,167358.04,4.5
N1-002,Large,3.7,N1,North,Rangpur,25.768732654901733,89.27728387843621,2025-04-27,Clothing,Dress,2542.97275723273,90,228867.55,4.4
N1-002,Large,3.7,N1,North,Rangpur,25.77144692726183,89.28193419600497,2025-10-04,Electronics,Tablet,48792.80483950159,39,1902919.39,3.6
N1-002,Large,3.7,N1,North,Rangpur,25.76423965245736,89.27894111671256,2025-04-29,Grocery,Honey (500g),350.3786105506048,167,58513.23,4.9
N1-002,Large,3.7,N1,North,Rangpur,25.768446146598123,89.2747407127718,2024-10-23,Clothing,Sunglasses,3640.3805192105556,97,353116.91,3.6
N1-002,Large,3.7,N1,North,Rangpur,25.76769863632586,89.28374846163311,2025-02-26,Electronics,Camera,60078.67730766559,43,2583383.12,4.6
N1-002,Large,3.7,N1,North,Rangpur,25.766318657020864,89.28292088802019,2025-07-10,Clothing,Sunglasses,613.7434858829504,91,55850.66,4.5
N1-002,Large,3.7,N1,North,Rangpur,25.771464151413014,89.27546493566668,2024-10-25,Electronics,Smartwatch,33159.754591696284,33,1094271.9,3.8
N1-002,Large,3.7,N1,North,Rangpur,25.765406618862553,89.28129723348594,2024-11-16,Sports,Yoga Mat,5263.663300122878,35,184228.22,3.0
N1-003,Large,4.1,N1,North,Rangpur,25.69437170474041,89.25054716095389,2025-08-11,Furniture,Dining Set,28383.04066685038,15,425745.61,3.9
N1-003,Large,4.1,N1,North,Rangpur,25.699432222079366,89.24648953173305,2025-02-09,Grocery,Honey (500g),443.6602332502474,187,82964.46,4.6
N1-003,Large,4.1,N1,North,Rangpur,25.699316276365405,89.24681054184859,2025-01-19,Clothing,Dress,3373.105927969236,111,374414.76,3.5
N1-003,Large,4.1,N1,North,Rangpur,25.698147206313628,89.24480977194953,2025-05-31,Grocery,Spice Mix,524.6226919498788,231,121187.84,3.2
N1-003,Large,4.1,N1,North,Rangpur,25.69326346255897,89.24437641227765,2025-05-11,Grocery,Cooking Oil (1L),246.5034813824603,143,35250.0,4.4
N1-003,Large,4.1,N1,North,Rangpur,25.69603746428484,89.24413214137552,2024-10-08,Furniture,Table,8532.586789263294,13,110923.63,3.8
N1-003,Large,4.1,N1,North,Rangpur,25.696649519269382,89.25149121405471,2024-12-09,Sports,Dumbbell Set,978.5329400743144,43,42076.92,3.6
N1-003,Large,4.1,N1,North,Rangpur,25.7008578354178,89.24694609225587,2025-03-19,HomeAppliances,Electric Fan,25143.484407239954,32,804591.5,3.5
N1-003,Large,4.1,N1,North,Rangpur,25.69912153572008,89.25046885411099,2025-01-29,Sports,Football,10027.001479530138,42,421134.06,4.8
N1-003,Large,4.1,N1,North,Rangpur,25.69215074240721,89.24849129396046,2024-11-20,Beauty,Sunscreen,329.4389691446609,52,17130.83,3.3
N1-003,Large,4.1,N1,North,Rangpur,25.69514817999262,89.2496760945593,2025-02-10,Grocery,Cooking Oil (1L),78.21632145135695,165,12905.69,3.8
N1-003,Large,4.1,N1,North,Rangpur,25.69240057802624,89.25158299440419,2025-03-03,Sports,Badminton Racket,20955.31741534697,28,586748.89,3.4
N1-003,Large,4.1,N1,North,Rangpur,25.697519417763107,89.24424344288943,2025-08-30,Electronics,Smartphone,92474.11885466693,18,1664534.14,4.4
N1-003,Large,4.1,N1,North,Rangpur,25.694990111139795,89.24785064480545,2025-03-30,Furniture,Table,38324.09809081712,17,651509.67,4.9
N1-003,Large,4.1,N1,North,Rangpur,25.69878586610314,89.24833622143638,2024-12-14,Electronics,Bluetooth Speaker,52425.29744986226,50,2621264.87,3.2
N1-003,Large,4.1,N1,North,Rangpur,25.697207174396915,89.24867901088724,2025-05-03,Clothing,Handbag,2831.758444916628,93,263353.54,3.1
N1-003,Large,4.1,N1,North,Rangpur,25.696214955957068,89.24568567786531,2024-11-07,Clothing,Jacket,346.8129556136564,82,28438.66,4.8
N1-003,Large,4.1,N1,North,Rangpur,25.698384296083976,89.2482229210209,2025-02-11,Furniture,Wardrobe,13414.513200162295,9,120730.62,4.8
N1-003,Large,4.1,N1,North,Rangpur,25.700396853544003,89.25037110766927,2025-01-30,Beauty,Lipstick,2290.7575664186925,69,158062.27,3.2
N1-003,Large,4.1,N1,North,Rangpur,25.69524368814272,89.24700686251653,2025-02-16,Clothing,Jeans,3076.762242759923,99,304599.46,3.7
N1-003,Large,4.1,N1,North,Rangpur,25.697841272023183,89.25086487093292,2025-01-28,Furniture,Table,24515.373139685238,12,294184.48,4.1
N1-003,Large,4.1,N1,North,Rangpur,25.699461368478634,89.24896989087483,2025-01-13,Grocery,Cooking Oil (1L),105.06585108809615,219,23009.42,4.3
N1-003,Large,4.1,N1,North,Rangpur,25.69879759349676,89.24512585778167,2025-01-26,Electronics,Power Bank,96808.48123081955,32,3097871.4,4.2
N1-003,Large,4.1,N1,North,Rangpur,25.69518763491577,89.24909234690222,2025-02-04,Beauty,Sunscreen,2748.4252694996853,50,137421.26,3.5
N1-003,Large,4.1,N1,North,Rangpur,25.697238361597645,89.2496856935752,2025-05-29,Electronics,Tablet,21513.45909225825,36,774484.53,3.4
N1-003,Large,4.1,N1,North,Rangpur,25.692884983024715,89.24400497326127,2025-06-16,Sports,Dumbbell Set,12362.865386711363,30,370885.96,3.5
N1-003,Large,4.1,N1,North,Rangpur,25.701622671254835,89.24759738714835,2025-07-05,HomeAppliances,Blender,2608.3797920107445,20,52167.6,4.4
N1-003,Large,4.1,N1,North,Rangpur,25.69762036414007,89.24675776692968,2025-08-01,Furniture,Wardrobe,52765.36584946192,14,738715.12,3.9
N1-003,Large,4.1,N1,North,Rangpur,25.69764993350852,89.24892830766292,2025-07-02,Electronics,Smartphone,36277.57973521293,25,906939.49,3.3
N1-003,Large,4.1,N1,North,Rangpur,25.69604146215791,89.24802506593447,2024-12-20,Beauty,Shampoo,608.8683603019042,42,25572.47,4.2
N1-004,Large,4.4,N1,North,Rangpur,25.75492481889853,89.29485576373543,2025-01-10,Grocery,Milk Powder (400g),382.3909933154532,142,54299.52,4.2
N1-004,Large,4.4,N1,North,Rangpur,25.74767096754676,89.2926138359469,2024-11-26,HomeAppliances,Air Conditioner,6267.043715315894,27,169210.18,3.5
N1-004,Large,4.4,N1,North,Rangpur,25.74972363108394,89.29212835984605,2024-12-26,HomeAppliances,Refrigerator,8730.90246405494,16,139694.44,3.6
N1-004,Large,4.4,N1,North,Rangpur,25.752936983744313,89.29769985718428,2025-05-13,Electronics,Power Bank,15972.133137189678,36,574996.79,4.6
N1-004,Large,4.4,N1,North,Rangpur,25.747680831010268,89.29322432414666,2025-06-25,Clothing,Dress,724.6723191058693,75,54350.42,3.1
N1-004,Large,4.4,N1,North,Rangpur,25.74904959148549,89.29452442322368,2025-04-30,Electronics,Smartwatch,57185.18625145859,43,2458963.01,4.1
N1-004,Large,4.4,N1,North,Rangpur,25.74731375045108,89.29854494496395,2025-02-22,Beauty,Perfume,3070.5759777972976,63,193446.29,4.7
N1-004,Large,4.4,N1,North,Rangpur,25.74542682302531,89.29936464959636,2024-12-08,Grocery,Rice (5kg),799.675036826863,201,160734.68,3.9
N1-004,Large,4.4,N1,North,Rangpur,25.751372353488403,89.29671921931414,2024-11-05,Clothing,Dress,3689.4693153290395,54,199231.34,3.2
N1-004,Large,4.4,N1,North,Rangpur,25.748322542929653,89.29873869803207,2025-04-09,Electronics,Bluetooth Speaker,45330.54009049031,72,3263798.89,3.6
N1-004,Large,4.4,N1,North,Rangpur,25.75274998555426,89.30045106713276,2025-03-13,Clothing,Handbag,3113.8491566133307,77,239766.39,4.6
N1-004,Large,4.4,N1,North,Rangpur,25.750208900218468,89.29802830001825,2025-10-04,Clothing,Sunglasses,3516.6596919864137,88,309466.05,4.0
N1-004,Large,4.4,N1,North,Rangpur,25.749405667244584,89.29878446158345,2025-02-20,HomeAppliances,Refrigerator,10753.004249061776,27,290331.11,3.2
N1-004,Large,4.4,N1,North,Rangpur,25.745161250938523,89.29588186816513,2024-11-16,Grocery,Tea (250g),647.4784372885977,208,134675.51,3.4
N1-004,Large,4.4,N1,North,Rangpur,25.7543510368932,89.29472057689485,2025-08-07,Beauty,Lipstick,4745.891563324909,65,308482.95,4.4
N1-004,Large,4.4,N1,North,Rangpur,25.746470925978716,89.29370806500171,2025-03-06,Clothing,Handbag,2085.248434744068,87,181416.61,4.2
N1-004,Large,4.4,N1,North,Rangpur,25.754366990230686,89.29687933805033,2025-07-27,Electronics,Laptop,38939.70911606859,56,2180623.71,4.6
N1-004,Large,4.4,N1,North,Rangpur,25.7504103120709,89.29525320070917,2025-05-13,Grocery,Honey (500g),266.90244582654304,178,47508.64,4.1
N1-004,Large,4.4,N1,North,Rangpur,25.751999490570068,89.29751993771208,2024-12-30,HomeAppliances,Electric Fan,21579.818525259547,17,366856.91,3.5
N1-004,Large,4.4,N1,North,Rangpur,25.748836817763333,89.30168610131163,2025-03-08,Grocery,Rice (5kg),281.8140086976879,151,42553.92,4.6
N1-004,Large,4.4,N1,North,Rangpur,25.75092631058696,89.30049896442586,2024-11-05,HomeAppliances,Microwave,23299.13193350621,10,232991.32,4.7
N1-004,Large,4.4,N1,North,Rangpur,25.749124292491324,89.29834977455651,2025-02-21,Clothing,T-Shirt,2246.019021187977,82,184173.56,3.3
N1-004,Large,4.4,N1,North,Rangpur,25.751522872819656,89.30031961421574,2025-02-06,Grocery,Spice Mix,776.594759236405,131,101733.91,4.7
N1-004,Large,4.4,N1,North,Rangpur,25.749903981147764,89.29721212141921,2025-01-04,Clothing,Dress,3830.3164927039015,142,543904.94,4.2
N1-004,Large,4.4,N1,North,Rangpur,25.746008937557693,89.29813943958004,2025-06-06,Electronics,Smartwatch,119711.70337109613,55,6584143.69,4.7
N1-004,Large,4.4,N1,North,Rangpur,25.748772917191616,89.29325765924922,2025-02-19,Electronics,Headphones,85728.13023284228,54,4629319.03,4.1
N1-004,Large,4.4,N1,North,Rangpur,25.754152796454097,89.29323313849352,2024-12-19,Electronics,Headphones,27038.168695626908,48,1297832.1,3.9
N1-004,Large,4.4,N1,North,Rangpur,25.748480162538293,89.29767767834349,2025-05-27,Grocery,Milk Powder (400g),234.04829820095708,123,28787.94,4.3
N1-004,Large,4.4,N1,North,Rangpur,25.748871438783535,89.29663404190282,2025-03-01,Clothing,Sunglasses,1225.3634303084946,109,133564.61,3.5
N1-004,Large,4.4,N1,North,Rangpur,25.751882501221203,89.29924864970388,2024-12-16,Clothing,Jacket,2426.8041416609867,65,157742.27,3.1
N1-005,Large,4.3,N1,North,Rangpur,25.718932663399144,89.28519721836923,2024-11-28,Sports,Dumbbell Set,12669.818519834824,38,481453.1,3.7
N1-005,Large,4.3,N1,North,Rangpur,25.717535877607236,89.28750993955721,2024-11-13,Furniture,Table,39149.01397216673,19,743831.27,4.3
N1-005,Large,4.3,N1,North,Rangpur,25.720040340327262,89.28239375964473,2024-11-17,Clothing,Sunglasses,445.8635236550243,82,36560.81,3.8
N1-005,Large,4.3,N1,North,Rangpur,25.71596200982672,89.28185184189472,2025-06-24,HomeAppliances,Microwave,35820.050874311724,26,931321.32,3.3
N1-005,Large,4.3,N1,North,Rangpur,25.718485577134683,89.28138271534458,2025-01-31,Furniture,Dining Set,21232.779704487053,14,297258.92,4.4
N1-005,Large,4.3,N1,North,Rangpur,25.71885088188996,89.2792657549386,2024-10-24,Electronics,Bluetooth Speaker,116334.21169760362,56,6514715.86,4.1
N1-005,Large,4.3,N1,North,Rangpur,25.719168235216337,89.28852948730538,2025-02-14,Furniture,Sofa,42005.56100305645,18,756100.1,3.2
N1-005,Large,4.3,N1,North,Rangpur,25.7200966212915,89.28134024038833,2025-06-07,Electronics,Power Bank,10802.76076040602,65,702179.45,3.1
N1-005,Large,4.3,N1,North,Rangpur,25.72040667753289,89.28217021423116,2025-02-09,Sports,Dumbbell Set,7903.659275966631,28,221302.46,4.0
N1-005,Large,4.3,N1,North,Rangpur,25.71764892439257,89.28655796960282,2025-08-16,Beauty,Face Cream,4458.8446809368115,39,173894.94,4.9
N1-005,Large,4.3,N1,North,Rangpur,25.711934278551176,89.28402003876549,2025-03-04,Grocery,Tea (250g),604.12445122164,125,75515.56,3.8
N1-005,Large,4.3,N1,North,Rangpur,25.71330518858638,89.28275342877517,2025-05-14,Beauty,Perfume,3513.3471859883052,44,154587.28,5.0
N1-005,Large,4.3,N1,North,Rangpur,25.713702876612686,89.28880863714696,2025-03-30,Beauty,Sunscreen,4528.141819638343,64,289801.08,4.9
N1-005,Large,4.3,N1,North,Rangpur,25.711157636751434,89.28699451429213,2025-02-14,Furniture,Office Chair,41452.28059340879,17,704688.77,3.5
N1-005,Large,4.3,N1,North,Rangpur,25.716807893039885,89.28725709819881,2025-08-01,Beauty,Sunscreen,1184.9867606858068,82,97168.91,3.5
N1-005,Large,4.3,N1,North,Rangpur,25.71345060417135,89.2808715395966,2025-07-21,Grocery,Spice Mix,724.4035870801362,142,102865.31,4.3
N1-005,Large,4.3,N1,North,Rangpur,25.71418177682369,89.28086903040165,2025-09-21,Beauty,Face Cream,271.32957070740247,71,19264.4,3.1
N1-005,Large,4.3,N1,North,Rangpur,25.714564451942245,89.28506322856627,2025-03-03,Beauty,Sunscreen,745.5166725754237,35,26093.08,3.9
N1-005,Large,4.3,N1,North,Rangpur,25.72058432403529,89.27973482246254,2025-06-13,Clothing,Shoes,460.45063652693534,91,41901.01,4.0
N1-005,Large,4.3,N1,North,Rangpur,25.711678969361735,89.2799344731617,2025-03-13,Electronics,Bluetooth Speaker,84842.91955897007,42,3563402.62,4.2
N1-005,Large,4.3,N1,North,Rangpur,25.714195916637255,89.2890728459462,2025-09-01,Furniture,Table,20125.879975687425,17,342139.96,4.1
N1-005,Large,4.3,N1,North,Rangpur,25.71863368950512,89.28633496755417,2025-02-14,Clothing,Shoes,2540.0791286806575,136,345450.76,3.4
N1-005,Large,4.3,N1,North,Rangpur,25.718240187280415,89.28225205188757,2025-02-15,Beauty,Face Cream,2186.3051416491844,76,166159.19,3.6
N1-005,Large,4.3,N1,North,Rangpur,25.71185631008773,89.2799802119609,2025-05-27,Beauty,Shampoo,4777.244084571799,70,334407.09,3.9
N1-005,Large,4.3,N1,North,Rangpur,25.714240522018233,89.28034888124114,2025-03-28,Electronics,Headphones,70313.52238891921,49,3445362.6,3.7
N1-005,Large,4.3,N1,North,Rangpur,25.711980067863315,89.28420069385727,2024-10-29,Clothing,Handbag,1864.8663663263685,75,139864.98,3.3
N1-005,Large,4.3,N1,North,Rangpur,25.712092915339372,89.28191225051255,2025-01-31,Clothing,Jeans,3434.9169380993244,74,254183.85,3.5
N1-005,Large,4.3,N1,North,Rangpur,25.717693829317003,89.2846939659393,2025-02-27,Furniture,Dining Set,35853.113596141804,20,717062.27,4.2
N1-005,Large,4.3,N1,North,Rangpur,25.720159437414402,89.28263680259496,2024-11-02,Electronics,Smartwatch,11242.756278862053,22,247340.64,3.4
N1-005,Large,4.3,N1,North,Rangpur,25.7154805201108,89.28070066114604,2025-07-23,Clothing,Shoes,2732.1751488961436,92,251360.11,3.6
N1-006,Small,4.6,N1,North,Rangpur,25.71241029042894,89.26295906473968,2025-04-21,Sports,Yoga Mat,15107.48241902476,37,558976.85,3.2
N1-006,Small,4.6,N1,North,Rangpur,25.70702162129107,89.26758490287337,2025-02-20,Clothing,Sunglasses,1868.8546605180823,98,183147.76,3.7
N1-006,Small,4.6,N1,North,Rangpur,25.707950125556202,89.26466662417037,2025-08-09,Clothing,Jacket,2809.4062038540774,99,278131.21,5.0
N1-006,Small,4.6,N1,North,Rangpur,25.706065775074745,89.26743529310149,2025-09-06,Grocery,Rice (5kg),195.36157450883616,214,41807.38,3.9
N1-006,Small,4.6,N1,North,Rangpur,25.711546413355144,89.26600311152895,2025-07-30,Clothing,Dress,2270.554687109468,61,138503.84,3.8
N1-006,Small,4.6,N1,North,Rangpur,25.71196092125338,89.26663837941378,2025-09-13,Sports,Treadmill,959.1676463483197,32,30693.36,3.2
N1-006,Small,4.6,N1,North,Rangpur,25.711762032048494,89.26607996672769,2025-09-24,Sports,Badminton Racket,4710.89292416269,42,197857.5,3.9
N1-006,Small,4.6,N1,North,Rangpur,25.713571175799643,89.26991948807999,2025-08-11,Furniture,Table,28962.208981722004,14,405470.93,3.4
N1-006,Small,4.6,N1,North,Rangpur,25.71392515895349,89.26595519247007,2025-07-10,Clothing,T-Shirt,2188.788152805949,53,116005.77,4.5
N1-006,Small,4.6,N1,North,Rangpur,25.706600921862112,89.2639901377054,2024-11-08,Clothing,Handbag,846.4523931905235,65,55019.41,4.5
N1-006,Small,4.6,N1,North,Rangpur,25.71050328647057,89.26825612071241,2025-08-27,Furniture,Table,57321.067731877,16,917137.08,4.4
N1-006,Small,4.6,N1,North,Rangpur,25.705548794222647,89.26688352045372,2024-12-19,Electronics,Camera,104795.64998111861,48,5030191.2,3.6
N1-006,Small,4.6,N1,North,Rangpur,25.709385070274696,89.2630303403237,2025-05-17,Grocery,Tea (250g),82.69081136193932,180,14884.35,4.7
N1-006,Small,4.6,N1,North,Rangpur,25.70993660981103,89.26708855640462,2025-08-26,Clothing,Sunglasses,3497.7251255233846,132,461699.72,4.1
N1-007,Medium,3.7,N1,North,Rangpur,25.79067136556138,89.25887312753,2025-09-13,Electronics,Power Bank,109813.59513625043,47,5161238.97,4.9
N1-007,Medium,3.7,N1,North,Rangpur,25.785012728482684,89.2609356715545,2025-02-16,Furniture,Office Chair,49603.17462274414,5,248015.87,5.0
N1-007,Medium,3.7,N1,North,Rangpur,25.78849547281591,89.261604102397,2025-01-09,Sports,Yoga Mat,15440.232454905523,4,61760.93,4.4
N1-007,Medium,3.7,N1,North,Rangpur,25.79020093934486,89.2577250965585,2025-09-08,Furniture,Dining Set,39698.761594308875,13,516083.9,3.5
N1-007,Medium,3.7,N1,North,Rangpur,25.788119515096035,89.26353641958819,2024-11-02,Electronics,Headphones,45336.54803878234,47,2130817.76,4.4
N1-007,Medium,3.7,N1,North,Rangpur,25.788388100281242,89.26177607408991,2025-03-18,Clothing,Jeans,2501.652544160827,119,297696.65,4.6
N1-007,Medium,3.7,N1,North,Rangpur,25.78988524061802,89.2603197027186,2024-10-26,Sports,Dumbbell Set,20809.494835914382,41,853189.29,3.8
N1-007,Medium,3.7,N1,North,Rangpur,25.79409798989602,89.25872216372,2025-04-02,Furniture,Office Chair,24942.87179401244,11,274371.59,3.5
N1-007,Medium,3.7,N1,North,Rangpur,25.785931797634973,89.25762665321949,2025-07-26,Grocery,Cooking Oil (1L),98.645464068666,115,11344.23,3.3
N1-007,Medium,3.7,N1,North,Rangpur,25.788729893335642,89.26062308373315,2024-10-15,HomeAppliances,Washing Machine,36788.87994448995,13,478255.44,3.5
N1-007,Medium,3.7,N1,North,Rangpur,25.78996141871766,89.2569541334769,2025-02-19,Furniture,Bookshelf,20671.036290984703,18,372078.65,4.6
N1-007,Medium,3.7,N1,North,Rangpur,25.788440031562583,89.25913405239588,2025-02-06,HomeAppliances,Microwave,17817.161203676413,19,338526.06,4.9
N1-007,Medium,3.7,N1,North,Rangpur,25.79396424276065,89.26097346428246,2025-06-24,Clothing,Handbag,2537.254756033976,88,223278.42,4.0
N1-007,Medium,3.7,N1,North,Rangpur,25.789754834599965,89.26216992169765,2025-08-02,Grocery,Sugar (1kg),103.74509528256047,122,12656.9,3.2
N1-007,Medium,3.7,N1,North,Rangpur,25.785153876092387,89.2588795256582,2025-06-13,Grocery,Spice Mix,382.8572725677388,165,63171.45,3.5
N1-007,Medium,3.7,N1,North,Rangpur,25.79176834994591,89.25721235807043,2025-08-24,Grocery,Sugar (1kg),210.64945654140809,161,33914.56,3.3
N1-007,Medium,3.7,N1,North,Rangpur,25.792209718768333,89.25855055578282,2025-09-15,Electronics,Smartwatch,110748.37122062815,41,4540683.22,4.2
N1-007,Medium,3.7,N1,North,Rangpur,25.791893655073928,89.25913716957014,2025-08-25,Beauty,Perfume,1428.4348564978145,82,117131.66,3.2
N1-007,Medium,3.7,N1,North,Rangpur,25.792560298307073,89.25843059067763,2025-05-10,Clothing,Jeans,1414.2594199690138,53,74955.75,3.2
N1-007,Medium,3.7,N1,North,Rangpur,25.7918067504986,89.25677217438901,2025-01-22,Furniture,Bookshelf,34482.95813727337,17,586210.29,3.0
N1-008,Small,4.1,N1,North,Rangpur,25.730032783625244,89.25820160982495,2025-04-07,Electronics,Tablet,71914.33619451203,23,1654029.73,4.9
N1-008,Small,4.1,N1,North,Rangpur,25.73353125243374,89.25503091649956,2024-12-30,Grocery,Tea (250g),637.6733752424414,180,114781.21,3.8
N1-008,Small,4.1,N1,North,Rangpur,25.72720919729232,89.26116661624799,2025-03-27,Grocery,Sugar (1kg),607.9606095876104,165,100313.5,3.2
N1-008,Small,4.1,N1,North,Rangpur,25.73122589421049,89.26289940881553,2024-12-11,Electronics,Camera,22941.87406424877,39,894733.09,4.4
N1-008,Small,4.1,N1,North,Rangpur,25.727732363760214,89.25503363500448,2024-10-13,Clothing,Dress,2637.42263670585,113,298028.76,3.4
N1-008,Small,4.1,N1,North,Rangpur,25.730228245025007,89.25712870989992,2025-09-13,Furniture,Sofa,56335.403897271855,25,1408385.1,4.5
N1-008,Small,4.1,N1,North,Rangpur,25.72847812979161,89.26349043741801,2025-06-29,Grocery,Sugar (1kg),311.3003737868762,162,50430.66,4.5
N1-008,Small,4.1,N1,North,Rangpur,25.734041042714733,89.25978833078324,2025-03-21,Electronics,Camera,117057.0414433146,44,5150509.82,4.6
N1-008,Small,4.1,N1,North,Rangpur,25.728077137101877,89.2575519717413,2025-03-01,Grocery,Rice (5kg),367.26143552261965,158,58027.31,3.9
N1-008,Small,4.1,N1,North,Rangpur,25.733498309799028,89.25812116535097,2025-02-28,Clothing,Jeans,2852.129791248299,82,233874.64,5.0
N1-008,Small,4.1,N1,North,Rangpur,25.732808897804084,89.26138967832604,2025-05-17,Sports,Dumbbell Set,24510.66834025984,33,808852.06,4.9
N1-008,Small,4.1,N1,North,Rangpur,25.730470384465704,89.26064652053644,2025-07-23,Electronics,Power Bank,11897.484169436706,39,464001.88,4.4
