data_type,record_id,city,region,latitude,longitude,category,product,price_bdt,units_sold,sales_amount,date,store_size,customer_rating,salesperson,coverage_value,outlets_visited,duration_hours,outlet_type,outlet_size,priority_score,potential_monthly_value,days_since_contact,no_order_reason,assigned_salesperson,brand,coverage_score,num_outlets,market_share,visit_count,total_outlets,unique_salespersons,intensity_score,from_city,to_city,from_region,to_region,from_latitude,from_longitude,to_latitude,to_longitude,distance_km,generated_at
sales,SALE0034,Khulna,West,22.848612,89.688095,Electronics,Headphones,42741.0,68.0,2906388.0,2024-11-28,Medium,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0035,Dhaka,Central,23.800682,90.430593,Furniture,Bookshelf,54497.0,94.0,5122718.0,2024-10-16,Small,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0036,Dhaka,Central,23.867441,90.457616,Clothing,Dress,3051.0,84.0,256284.0,2025-03-27,Medium,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0037,Sylhet,East,24.96504,91.784589,HomeAppliances,Electric Fan,9930.0,32.0,317760.0,2025-06-11,Small,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0038,Tangail,Central,24.200473,89.886022,Grocery,Tea (250g),607.0,30.0,18210.0,2024-12-07,Small,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0039,Dhaka,Central,23.732767,90.416614,Grocery,Honey (500g),686.0,8.0,5488.0,2025-06-09,Small,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0040,Tangail,Central,24.204029,90.012996,Electronics,Camera,17287.0,66.0,1140942.0,2025-06-05,Medium,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0041,Barguna,South,22.110837,90.100676,Electronics,Tablet,78678.0,17.0,1337526.0,2024-12-16,Large,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0042,Patuakhali,South,22.394876,90.244248,Beauty,Lipstick,3534.0,25.0,88350.0,2025-08-17,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0043,Netrokona,Central,24.802926,90.744378,Grocery,Sugar (1kg),473.0,53.0,25069.0,2025-02-07,Large,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0044,Dhaka,Central,23.823294,90.459409,Beauty,Face Mask,1006.0,8.0,8048.0,2025-03-12,Large,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0045,Rajshahi,West,24.389697,88.641919,Clothing,Handbag,747.0,32.0,23904.0,2025-06-28,Small,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0046,Panchagarh,North,26.295999,88.563935,HomeAppliances,Microwave,29648.0,24.0,711552.0,2025-05-15,Medium,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0047,Chattogram,Central,22.371554,91.740339,Beauty,Perfume,3830.0,71.0,271930.0,2025-08-15,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0048,Dhaka,Central,23.903589,90.44093,Electronics,Smartphone,20224.0,97.0,1961728.0,2025-06-05,Small,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0049,Kushtia,West,23.860166,89.169725,Furniture,Bed,19008.0,52.0,988416.0,2025-09-04,Small,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0050,Rajshahi,West,24.411769,88.648867,HomeAppliances,Electric Fan,19380.0,59.0,1143420.0,2025-05-11,Medium,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0051,Kushtia,West,23.896631,89.077276,Grocery,Honey (500g),609.0,85.0,51765.0,2025-01-28,Small,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0052,Sylhet,East,24.891045,91.889169,Furniture,Table,8832.0,75.0,662400.0,2024-12-31,Small,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0053,Panchagarh,North,26.33065,88.637212,Grocery,Rice (5kg),91.0,75.0,6825.0,2025-02-02,Large,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0054,Bogra,North,24.881283,89.315271,Clothing,Shoes,944.0,8.0,7552.0,2025-01-17,Small,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0055,Khulna,West,22.792055,89.569248,Electronics,Laptop,85992.0,9.0,773928.0,2024-10-24,Small,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0056,Khagrachhari,East,23.088827,92.01284,Sports,Yoga Mat,8567.0,75.0,642525.0,2024-12-04,Small,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0057,Dhaka,Central,23.833962,90.40813,Sports,Treadmill,22040.0,75.0,1653000.0,2024-12-19,Large,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0058,Sunamganj,East,25.02436,91.309109,Beauty,Shampoo,1873.0,86.0,161078.0,2025-04-27,Small,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0059,Lalmonirhat,North,25.927405,89.375256,Clothing,Jeans,3051.0,83.0,253233.0,2025-05-04,Medium,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0060,Barguna,South,22.105807,90.129224,Grocery,Spice Mix,114.0,2.0,228.0,2025-02-12,Large,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0061,Dinajpur,North,25.63621,88.564722,Sports,Football,2900.0,69.0,200100.0,2025-06-17,Large,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0062,Thakurgaon,North,26.084153,88.533228,HomeAppliances,Blender,6508.0,32.0,208256.0,2025-03-29,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0063,Rajshahi,West,24.389352,88.654927,Furniture,Dining Set,40600.0,91.0,3694600.0,2025-05-03,Large,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0064,Nilphamari,North,25.959052,89.081164,Sports,Dumbbell Set,17832.0,2.0,35664.0,2024-10-28,Large,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0065,Jhenaidah,West,23.5895,89.222383,Grocery,Honey (500g),146.0,18.0,2628.0,2025-05-22,Small,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0066,Panchagarh,North,26.291359,88.535791,Clothing,Sunglasses,2566.0,20.0,51320.0,2025-05-18,Medium,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0067,Bogra,North,24.965733,89.254664,Electronics,Camera,34685.0,88.0,3052280.0,2024-11-14,Medium,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0068,Khulna,West,22.822003,89.605637,Grocery,Sugar (1kg),92.0,12.0,1104.0,2024-11-14,Medium,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0069,Dhaka,Central,23.774535,90.453276,Grocery,Rice (5kg),43.0,43.0,1849.0,2025-07-30,Large,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0070,Dinajpur,North,25.635579,88.594204,Electronics,Headphones,105154.0,57.0,5993778.0,2024-12-26,Large,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0071,Jessore,West,23.068743,89.211187,Grocery,Rice (5kg),154.0,10.0,1540.0,2024-10-16,Small,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0072,Jhenaidah,West,23.502174,89.176416,Furniture,Dining Set,29196.0,75.0,2189700.0,2024-12-26,Small,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0073,Dhaka,Central,23.835549,90.464445,Sports,Football,10601.0,47.0,498247.0,2025-09-14,Medium,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0074,Barishal,South,22.677253,90.3143,Electronics,Tablet,95416.0,14.0,1335824.0,2025-04-06,Large,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0075,Jessore,West,23.106956,89.255072,Grocery,Milk Powder (400g),675.0,96.0,64800.0,2025-07-17,Small,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0076,Rangamati,East,22.739408,92.245248,HomeAppliances,Microwave,29020.0,4.0,116080.0,2025-07-05,Large,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0077,Barishal,South,22.764346,90.31104,Furniture,Dining Set,31982.0,86.0,2750452.0,2025-05-30,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0078,Dhaka,Central,23.832491,90.458978,Electronics,Laptop,58140.0,5.0,290700.0,2025-02-06,Small,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0079,Comilla,East,23.298637,91.119437,Electronics,Power Bank,53830.0,40.0,2153200.0,2025-06-10,Small,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0080,Chattogram,Central,22.438521,91.697392,Clothing,Jeans,1932.0,43.0,83076.0,2025-05-15,Small,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0081,Tangail,Central,24.322064,89.833848,Electronics,Smartwatch,54025.0,83.0,4484075.0,2025-01-17,Medium,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0082,Cox's Bazar,East,21.378125,92.033526,Beauty,Sunscreen,2912.0,4.0,11648.0,2025-08-06,Medium,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0083,Dhaka,Central,23.81379,90.389381,Grocery,Sugar (1kg),79.0,14.0,1106.0,2024-12-03,Medium,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0084,Khagrachhari,East,23.179301,91.895731,Grocery,Spice Mix,361.0,56.0,20216.0,2024-11-28,Large,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0085,Mymensingh,Central,24.742411,90.415299,Grocery,Tea (250g),234.0,33.0,7722.0,2025-09-12,Large,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0086,Sunamganj,East,25.08075,91.362638,Sports,Yoga Mat,18143.0,88.0,1596584.0,2024-10-26,Small,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0087,Dhaka,Central,23.780832,90.463476,Clothing,T-Shirt,3020.0,43.0,129860.0,2024-11-19,Medium,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0088,Dhaka,Central,23.85528,90.430938,Grocery,Rice (5kg),777.0,39.0,30303.0,2025-01-18,Medium,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0089,Jamalpur,Central,24.85855,89.916389,Beauty,Shampoo,3496.0,90.0,314640.0,2025-05-06,Large,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0090,Chandpur,Central,23.232255,90.65704,Beauty,Lipstick,3305.0,87.0,287535.0,2025-07-07,Large,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0091,Rangpur,North,25.771255,89.263068,HomeAppliances,Electric Fan,37909.0,1.0,37909.0,2025-05-02,Medium,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0092,Lalmonirhat,North,25.957971,89.498811,Clothing,Handbag,2675.0,78.0,208650.0,2024-11-03,Medium,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0093,Dhaka,Central,23.875574,90.41376,Sports,Treadmill,22638.0,28.0,633864.0,2025-01-16,Medium,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0094,Khulna,West,22.861808,89.532491,Beauty,Face Mask,1590.0,85.0,135150.0,2025-08-22,Medium,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0095,Bandarban,East,22.159089,92.345543,Grocery,Honey (500g),674.0,43.0,28982.0,2025-08-18,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0096,Khulna,West,22.903506,89.5878,Clothing,Jeans,3603.0,26.0,93678.0,2025-07-21,Small,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0097,Kishoreganj,Central,24.432688,90.729465,HomeAppliances,Electric Fan,42060.0,99.0,4163940.0,2025-08-28,Medium,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0098,Dhaka,Central,23.859056,90.403677,Grocery,Honey (500g),629.0,25.0,15725.0,2024-10-13,Medium,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0099,Rajshahi,West,24.384247,88.590277,Electronics,Tablet,27342.0,84.0,2296728.0,2024-10-17,Small,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0100,Dinajpur,North,25.645548,88.602883,Electronics,Laptop,110029.0,55.0,6051595.0,2025-06-14,Small,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0101,Dhaka,Central,23.786748,90.426423,Beauty,Face Mask,4443.0,60.0,266580.0,2025-09-09,Large,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0102,Dhaka,Central,23.737896,90.328052,Sports,Football,15457.0,18.0,278226.0,2025-02-09,Large,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0103,Manikganj,Central,23.824078,89.987193,Sports,Yoga Mat,20011.0,41.0,820451.0,2025-02-20,Large,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0104,Feni,East,23.062883,91.400404,Grocery,Tea (250g),476.0,71.0,33796.0,2025-02-18,Small,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0105,Dhaka,Central,23.809374,90.39518,Clothing,Dress,2143.0,34.0,72862.0,2025-05-31,Large,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0106,Dhaka,Central,23.826436,90.362866,Electronics,Power Bank,90149.0,31.0,2794619.0,2025-05-17,Medium,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0107,Chandpur,Central,23.227862,90.674103,Grocery,Sugar (1kg),280.0,35.0,9800.0,2025-04-16,Medium,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0108,Khulna,West,22.856805,89.541056,Beauty,Perfume,1333.0,20.0,26660.0,2025-06-08,Medium,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0109,Dhaka,Central,23.811526,90.44238,Grocery,Honey (500g),259.0,9.0,2331.0,2025-03-06,Medium,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0110,Dinajpur,North,25.740959,88.587259,Grocery,Milk Powder (400g),465.0,8.0,3720.0,2025-06-21,Medium,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0111,Bogra,North,24.95949,89.318202,Sports,Yoga Mat,23290.0,3.0,69870.0,2024-12-14,Medium,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0112,Sylhet,East,24.788705,91.837155,Furniture,Sofa,24569.0,97.0,2383193.0,2025-03-19,Medium,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0113,Bogra,North,24.867088,89.47927,Electronics,Tablet,71993.0,29.0,2087797.0,2025-05-18,Medium,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0114,Khulna,West,22.800679,89.569815,Beauty,Lipstick,2953.0,86.0,253958.0,2024-10-22,Medium,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0115,Pirojpur,South,22.513988,90.089888,Beauty,Lipstick,1245.0,80.0,99600.0,2025-01-04,Small,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0116,Barguna,South,22.208972,90.091849,Beauty,Sunscreen,4823.0,85.0,409955.0,2025-09-21,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0117,Chuadanga,West,23.556043,88.924532,Electronics,Headphones,68515.0,24.0,1644360.0,2025-09-09,Medium,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0118,Habiganj,East,24.369273,91.490969,Beauty,Face Cream,3924.0,42.0,164808.0,2025-04-15,Medium,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0119,Barishal,South,22.701262,90.356319,Furniture,Dining Set,32627.0,33.0,1076691.0,2025-08-24,Medium,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0120,Feni,East,22.997497,91.447371,Sports,Yoga Mat,2206.0,45.0,99270.0,2025-06-12,Large,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0121,Mymensingh,Central,24.756015,90.410866,Electronics,Smartphone,106858.0,4.0,427432.0,2025-05-31,Small,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
