outlet_id,city,latitude,longitude,region,category,product,price_bdt,units_sold,sales_amount,sale_date,store_size,customer_rating,returns,sales_per_unit
19,Dhaka,23.813792523106763,90.32106237617354,Dhaka,Beauty,Face Cream,4239,36,152604,2024-10-15,Small,4.79,1,4239.0
20,Dhaka,23.776943306133525,90.40228121372289,Dhaka,Beauty,Face Cream,360,94,33840,2025-03-29,Small,3.76,2,360.0
21,Dhaka,23.75671278358225,90.38571462020842,Dhaka,Grocery,Tea (250g),585,108,63180,2025-08-19,Medium,4.21,1,585.0
22,Dhaka,23.803868331490335,90.37360261713974,Dhaka,Clothing,Shoes,2901,144,417744,2025-06-09,Medium,3.76,3,2901.0
23,Khulna,22.972929371820758,89.6228972208441,Khulna,Clothing,T-Shirt,1207,68,82076,2025-08-27,Small,5.0,1,1207.0
24,Kushtia,23.889436273145954,89.16446872005044,Kushtia,Electronics,Tablet,118219,78,9221082,2025-01-20,Small,4.31,2,118219.0
25,Khagrachhari,22.98615738105068,92.0724432609342,Khagrachhari,Grocery,Honey (500g),415,158,65570,2025-07-02,Small,4.39,0,415.0
26,Dinajpur,25.70711268121866,88.53000205102421,Dinajpur,Clothing,Sunglasses,2783,95,264385,2025-07-22,Large,3.24,3,2783.0
27,Jhenaidah,23.492060299344676,89.13848551678424,Jhenaidah,HomeAppliances,Air Conditioner,45728,13,594464,2025-02-14,Medium,3.49,0,45728.0
28,Rangamati,22.621287706256133,92.34527767984008,Rangamati,Clothing,Shoes,539,135,72765,2025-04-07,Small,5.0,0,539.0
29,Jessore,23.228507184005068,89.18823540947983,Jessore,Clothing,Dress,665,93,61845,2025-05-17,Small,4.78,1,665.0
30,Panchagarh,26.33266103344994,88.45590980176087,Panchagarh,Furniture,Table,44191,19,839629,2024-12-17,Small,4.33,0,44191.0
31,Feni,22.897775443901672,91.53560258244342,Feni,Sports,Treadmill,3376,18,60768,2024-11-22,Medium,3.96,1,3376.0
32,Brahmanbaria,23.934315278440526,90.98640306936066,Brahmanbaria,Clothing,Shoes,644,127,81788,2025-03-06,Large,3.96,0,644.0
33,Narayanganj,23.611670610455537,90.53953986329964,Narayanganj,Grocery,Sugar (1kg),587,280,164360,2025-09-23,Large,5.0,2,587.0
34,Rangpur,25.725409322803515,89.21620564268186,Rangpur,Electronics,Smartphone,80874,31,2507094,2025-05-13,Small,3.66,0,80874.0
35,Saidpur,25.761222030041957,88.96771560345225,Saidpur,Electronics,Headphones,115227,58,6683166,2024-12-20,Medium,4.18,1,115227.0
36,Chuadanga,23.724042667792833,88.78907711256053,Chuadanga,Clothing,Sunglasses,3629,98,355642,2025-01-19,Medium,3.86,3,3629.0
37,Khagrachhari,23.07299607171125,92.0198279945878,Khagrachhari,Clothing,Dress,958,50,47900,2024-10-22,Small,4.37,0,958.0
38,Comilla,23.537227794919218,91.173574715148,Comilla,Clothing,Jacket,4108,70,287560,2025-07-31,Medium,5.0,3,4108.0
39,Dinajpur,25.63654425245563,88.65252809248621,Dinajpur,Grocery,Sugar (1kg),409,201,82209,2025-09-05,Medium,4.96,6,409.0
40,Bandarban,22.09779705363869,92.21555618408827,Bandarban,Clothing,Jeans,4111,116,476876,2025-01-29,Small,3.38,2,4111.0
41,Rangpur,25.689416757385775,89.32008264539768,Rangpur,Grocery,Cooking Oil (1L),423,214,90522,2025-01-01,Small,4.11,3,423.0
42,Chattogram,22.27085466784605,91.76787737408694,Chattogram,Clothing,Handbag,2435,51,124185,2025-01-21,Small,4.21,1,2435.0
43,Chuadanga,23.68968147335511,88.84882044090872,Chuadanga,Furniture,Sofa,49723,9,447507,2025-10-02,Large,4.16,0,49723.0
44,Jessore,23.162324944511155,89.12355676475197,Jessore,Grocery,Rice (5kg),215,161,34615,2025-06-01,Small,4.08,5,215.0
45,Bogra,24.913319859792786,89.41899074090682,Bogra,Clothing,T-Shirt,662,136,90032,2025-06-26,Small,4.37,3,662.0
46,Narayanganj,23.52628594557085,90.54473753893525,Narayanganj,Electronics,Bluetooth Speaker,23824,35,833840,2024-11-28,Medium,3.89,0,23824.0
47,Dhaka,23.820737979750177,90.48512975577938,Dhaka,Sports,Football,781,56,43736,2025-03-16,Medium,4.06,0,781.0
48,Feni,22.986126579803827,91.3298362621097,Feni,Clothing,Jacket,2063,92,189796,2025-05-19,Large,3.65,1,2063.0
49,Bogra,24.80512180061041,89.19559597481525,Bogra,Grocery,Spice Mix,425,128,54400,2025-01-13,Medium,4.23,2,425.0
50,Barishal,22.735624327630834,90.33725636911656,Barishal,Beauty,Shampoo,4348,55,239140,2024-12-13,Medium,4.14,0,4348.0
51,Kishoreganj,24.46521501353313,90.8390080901322,Kishoreganj,HomeAppliances,Washing Machine,34653,32,1108896,2025-08-24,Small,3.45,1,34653.0
52,Barishal,22.660415218770957,90.17507360738992,Barishal,Clothing,Jacket,3223,97,312631,2025-06-23,Small,3.99,2,3223.0
53,Barishal,22.77388332358119,90.28303090844094,Barishal,Grocery,Spice Mix,200,301,60200,2024-12-20,Small,4.08,6,200.0
54,Satkhira,22.679148395973623,89.13633109476682,Satkhira,Beauty,Perfume,869,61,53009,2025-08-19,Small,3.61,2,869.0
55,Dhaka,23.890126313796145,90.57244537649999,Dhaka,Grocery,Honey (500g),585,162,94770,2024-10-24,Large,4.26,1,585.0
56,Bogra,24.99674511877701,89.37703769455801,Bogra,Electronics,Power Bank,129228,88,11372064,2025-06-21,Medium,4.4,1,129228.0
57,Dhaka,23.790543577576653,90.37487748426165,Dhaka,Electronics,Laptop,34208,21,718368,2024-11-30,Small,3.55,1,34208.0
58,Dhaka,23.74957373748439,90.28011146625073,Dhaka,Grocery,Milk Powder (400g),731,258,188598,2024-10-06,Large,3.69,4,731.0
59,Bogra,24.912329568706717,89.31084271773477,Bogra,Furniture,Office Chair,15995,17,271915,2024-10-28,Small,4.11,3,15995.0
60,Cox's Bazar,21.386546027235976,92.0177429250778,Cox's Bazar,HomeAppliances,Washing Machine,13333,17,226661,2025-07-19,Medium,3.83,0,13333.0
61,Jessore,23.13617401347262,88.91454357605122,Jessore,HomeAppliances,Blender,6324,21,132804,2025-08-11,Small,4.01,1,6324.0
62,Kushtia,23.952200323842593,89.03217585830262,Kushtia,Electronics,Camera,23002,47,1081094,2025-07-01,Large,3.57,1,23002.0
63,Manikganj,23.84345142606388,89.91539749988533,Manikganj,Clothing,Shoes,686,116,79576,2024-12-06,Medium,4.33,2,686.0
64,Netrokona,24.86354014010081,90.72555391700853,Netrokona,Beauty,Face Cream,2153,88,189464,2025-04-30,Small,3.92,3,2153.0
65,Jhenaidah,23.51998326726717,89.17874435010232,Jhenaidah,Furniture,Wardrobe,38387,12,460644,2025-03-04,Medium,3.89,1,38387.0
66,Jessore,23.16950580597628,89.30873261017685,Jessore,Electronics,Laptop,56003,29,1624087,2024-12-22,Large,4.26,1,56003.0
67,Saidpur,25.7397745265062,89.04082371116658,Saidpur,Sports,Football,10795,18,194310,2024-12-02,Small,4.11,1,10795.0
68,Dhaka,23.79679964579778,90.50910737363442,Dhaka,Sports,Dumbbell Set,19889,41,815449,2024-11-27,Small,4.38,0,19889.0
69,Sylhet,24.860361730425733,91.87846078517163,Sylhet,Clothing,Jeans,2467,63,155421,2025-03-02,Medium,4.22,1,2467.0
70,Mymensingh,24.809143363009415,90.33244283614894,Mymensingh,Sports,Badminton Racket,22362,23,514326,2025-03-21,Large,4.12,1,22362.0
71,Tangail,24.233001081050045,89.92976431476025,Tangail,Grocery,Rice (5kg),80,47,3760,2025-04-12,Small,3.96,1,80.0
72,Jhenaidah,23.623198002931005,88.96630076065216,Jhenaidah,Grocery,Spice Mix,532,142,75544,2025-04-05,Small,5.0,3,532.0
73,Jhenaidah,23.664343785362842,89.22211400841837,Jhenaidah,HomeAppliances,Microwave,24872,17,422824,2025-08-27,Small,4.6,0,24872.0
74,Dhaka,23.808843363206485,90.3680820800697,Dhaka,Grocery,Spice Mix,249,164,40836,2025-04-11,Small,3.77,2,249.0
75,Khulna,22.785351553994875,89.47887619479167,Khulna,Electronics,Laptop,12453,17,211701,2024-12-16,Medium,3.5,0,12453.0
76,Barishal,22.839583365324373,90.30038824691627,Barishal,Electronics,Bluetooth Speaker,112188,50,5609400,2024-11-09,Small,4.35,1,112188.0
77,Dhaka,23.841216371179208,90.50803455700408,Dhaka,Furniture,Sofa,36483,7,255381,2025-07-29,Medium,4.19,0,36483.0
78,Thakurgaon,25.993232678570937,88.43898387520512,Thakurgaon,Beauty,Lipstick,5720,73,417560,2025-06-03,Small,4.64,1,5720.0
79,Sirajganj,24.39954547211713,89.699337754036,Sirajganj,Furniture,Wardrobe,37489,15,562335,2025-04-02,Medium,4.69,0,37489.0
80,Jessore,23.19456480507215,89.25103786161206,Jessore,Grocery,Spice Mix,663,157,104091,2025-04-07,Medium,3.97,4,663.0
81,Chandpur,23.22327291518099,90.66173709491467,Chandpur,Clothing,Jacket,2790,103,287370,2025-02-23,Small,4.3,1,2790.0
82,Narayanganj,23.593213459925884,90.42913781270342,Narayanganj,Electronics,Headphones,89860,61,5481460,2025-08-29,Small,3.98,3,89860.0
83,Brahmanbaria,23.955517656338213,91.06762673413543,Brahmanbaria,Grocery,Sugar (1kg),99,267,26433,2025-09-28,Small,3.34,7,99.0
84,Rangpur,25.709838973639673,89.33369723946743,Rangpur,Electronics,Camera,26766,54,1445364,2024-12-21,Small,4.68,1,26766.0
85,Kushtia,23.895555233292665,89.03074330970132,Kushtia,Sports,Cricket Bat,11920,19,226480,2025-04-25,Small,3.75,0,11920.0
86,Rajshahi,24.358670929296448,88.71348366652705,Rajshahi,Sports,Dumbbell Set,6042,40,241680,2025-04-07,Large,4.46,3,6042.0
87,Chattogram,22.455186764972858,91.90328310720035,Chattogram,Furniture,Sofa,33578,15,503670,2025-07-25,Small,3.6,0,33578.0
88,Dhaka,23.799917907278186,90.35744722479197,Dhaka,Clothing,Sunglasses,2436,124,302064,2025-03-05,Medium,4.31,1,2436.0
89,Dhaka,23.79089862726283,90.41630828414515,Dhaka,Clothing,Sunglasses,1066,105,111930,2025-07-20,Small,3.71,2,1066.0
90,Dhaka,23.918161191610974,90.46376742890135,Dhaka,Beauty,Face Mask,1064,71,75544,2025-01-16,Medium,3.7,2,1064.0
91,Khulna,22.921511835097423,89.58504873669827,Khulna,Grocery,Rice (5kg),455,332,151060,2025-05-31,Medium,4.69,8,455.0
92,Dhaka,23.74840542518779,90.3701561409963,Dhaka,HomeAppliances,Washing Machine,31819,26,827294,2025-07-04,Small,4.32,0,31819.0
93,Faridpur,23.667875167423865,89.81132020038604,Faridpur,Grocery,Honey (500g),693,376,260568,2025-01-28,Medium,4.27,7,693.0
94,Gaibandha,25.23964236200355,89.57069279499893,Gaibandha,Furniture,Table,45657,19,867483,2024-10-15,Medium,3.47,0,45657.0
95,Saidpur,25.71686489481104,89.11554492669698,Saidpur,Clothing,Shoes,1605,60,96300,2025-02-16,Small,4.03,1,1605.0
96,Chattogram,22.379356803334638,91.77625241782958,Chattogram,Furniture,Wardrobe,40301,9,362709,2025-01-08,Small,4.27,0,40301.0
97,Pabna,23.99019195979787,89.15838580607716,Pabna,Grocery,Cooking Oil (1L),724,101,73124,2025-03-15,Small,3.34,3,724.0
98,Manikganj,23.92181700724191,90.01910313272212,Manikganj,Furniture,Table,10686,23,245778,2025-06-08,Small,3.76,0,10686.0
99,Dhaka,23.8217562650464,90.34093494140689,Dhaka,Grocery,Milk Powder (400g),356,83,29548,2024-12-15,Small,4.35,0,356.0
100,Khulna,22.78929192538765,89.59184145276075,Khulna,Grocery,Milk Powder (400g),690,156,107640,2024-12-19,Medium,5.0,7,690.0
101,Rangpur,25.754926268077384,89.28854156956771,Rangpur,HomeAppliances,Blender,8018,24,192432,2025-02-27,Small,4.48,0,8018.0
102,Khulna,22.825529549618597,89.55679527856235,Khulna,Furniture,Wardrobe,12213,26,317538,2024-10-05,Medium,4.03,0,12213.0
103,Jessore,23.09331864499382,89.06850074275296,Jessore,Grocery,Honey (500g),345,130,44850,2024-10-15,Small,3.44,3,345.0
104,Satkhira,22.888518018637267,89.07264216343725,Satkhira,Sports,Yoga Mat,25840,26,671840,2025-08-23,Medium,3.51,1,25840.0
105,Sirajganj,24.495535715387206,89.72249531391755,Sirajganj,Furniture,Table,48939,8,391512,2025-08-14,Medium,4.38,1,48939.0
106,Jessore,23.120264315148045,89.2130781983334,Jessore,Grocery,Honey (500g),427,167,71309,2025-08-27,Medium,4.76,4,427.0
107,Dhaka,23.7147203759881,90.44773797903683,Dhaka,Sports,Badminton Racket,14475,25,361875,2025-03-05,Medium,4.13,1,14475.0
108,Tangail,24.22222305607448,89.83348642970037,Tangail,Sports,Football,20771,23,477733,2025-04-24,Small,3.57,0,20771.0
109,Chattogram,22.387067953857983,91.75435886266209,Chattogram,Clothing,Jeans,2102,49,102998,2025-07-19,Medium,3.73,0,2102.0
110,Dhaka,23.85031882420629,90.28853749843371,Dhaka,Grocery,Spice Mix,387,250,96750,2024-12-21,Small,3.84,2,387.0
111,Dhaka,23.7442532430298,90.35559611001915,Dhaka,Clothing,T-Shirt,589,111,65379,2024-12-09,Small,3.32,1,589.0
112,Pabna,24.100354343210263,89.28352152074929,Pabna,Clothing,Handbag,562,60,33720,2025-06-06,Medium,4.41,0,562.0
113,Khulna,22.844398866039334,89.57098895766303,Khulna,Clothing,Jacket,922,70,64540,2025-02-16,Large,4.49,2,922.0
114,Cox's Bazar,21.409751635191355,91.97317415311451,Cox's Bazar,Clothing,Dress,1690,102,172380,2025-05-04,Medium,3.29,2,1690.0
115,Jhalokati,22.655078338448384,90.19987595953313,Jhalokati,Beauty,Shampoo,1468,59,86612,2025-04-30,Medium,4.05,0,1468.0
116,Chattogram,22.324124389738145,91.86168549229397,Chattogram,Electronics,Laptop,23697,59,1398123,2025-01-25,Large,4.37,3,23697.0
117,Comilla,23.54411245294104,91.22552482450814,Comilla,Electronics,Tablet,64896,27,1752192,2025-09-10,Small,3.6,0,64896.0
118,Feni,23.03451200209081,91.3324380888384,Feni,Sports,Yoga Mat,21110,28,591080,2025-09-30,Medium,3.98,0,21110.0
119,Dhaka,23.77648105835442,90.37962550749606,Dhaka,Electronics,Camera,37368,45,1681560,2024-12-01,Small,4.19,1,37368.0
120,Sherpur,25.072624726161035,90.07388521145494,Sherpur,Clothing,Jeans,2697,23,62031,2025-05-25,Small,5.0,0,2697.0
121,Comilla,23.42792533310485,91.21224432043219,Comilla,Grocery,Honey (500g),174,119,20706,2024-12-01,Small,4.08,1,174.0
122,Dhaka,23.786924203588473,90.45680666654252,Dhaka,Grocery,Milk Powder (400g),719,191,137329,2025-03-27,Medium,4.61,3,719.0
123,Brahmanbaria,23.87075181081318,91.06746215335627,Brahmanbaria,Beauty,Lipstick,465,110,51150,2025-03-19,Small,3.8,4,465.0
124,Mymensingh,24.748193071973994,90.40073744146746,Mymensingh,Electronics,Power Bank,14079,50,703950,2025-05-10,Medium,4.39,0,14079.0
125,Khulna,22.917624834476666,89.48774845768229,Khulna,Grocery,Cooking Oil (1L),166,209,34694,2025-08-28,Small,3.75,4,166.0
126,Bhola,22.645084371990105,90.70676268618459,Bhola,Sports,Badminton Racket,14393,21,302253,2025-01-12,Medium,3.66,0,14393.0
127,Meherpur,23.85403712140487,88.84394172600152,Meherpur,HomeAppliances,Microwave,41061,25,1026525,2025-05-05,Small,3.68,0,41061.0
128,Rangpur,25.713212966666987,89.21436799405333,Rangpur,Sports,Cricket Bat,17888,23,411424,2025-09-17,Medium,4.67,0,17888.0
129,Meherpur,23.7890497425874,88.82792978681195,Meherpur,Furniture,Wardrobe,7787,11,85657,2025-01-20,Small,4.55,0,7787.0
130,Netrokona,24.88512873101594,90.6139451082823,Netrokona,Beauty,Sunscreen,3966,60,237960,2025-09-05,Large,5.0,1,3966.0
131,Satkhira,22.691692640960973,88.97205614109684,Satkhira,Electronics,Smartwatch,40637,58,2356946,2024-12-07,Medium,3.89,0,40637.0
132,Rajshahi,24.380278983884565,88.74048485159933,Rajshahi,Electronics,Bluetooth Speaker,80563,47,3786461,2025-07-22,Medium,4.42,2,80563.0
133,Mymensingh,24.685724751018437,90.38046818693803,Mymensingh,Clothing,Shoes,3115,80,249200,2024-10-11,Small,3.92,2,3115.0
134,Rajshahi,24.330488511246454,88.82875594285346,Rajshahi,Grocery,Milk Powder (400g),97,302,29294,2025-07-15,Medium,5.0,2,97.0
135,Khulna,22.78605942960751,89.57117075064674,Khulna,Grocery,Sugar (1kg),754,216,162864,2024-10-20,Small,3.85,4,754.0
136,Dhaka,23.839103574805204,90.30326303822461,Dhaka,HomeAppliances,Microwave,54959,14,769426,2025-03-21,Large,5.0,0,54959.0
137,Chandpur,23.25467001263349,90.65389398706616,Chandpur,Electronics,Headphones,93716,87,8153292,2025-08-31,Small,4.47,3,93716.0
138,Sherpur,25.050816006394182,89.97738393282704,Sherpur,Clothing,Shoes,1885,96,180960,2024-11-26,Small,3.91,0,1885.0
139,Chattogram,22.340446298576726,91.70325497938798,Chattogram,Sports,Treadmill,10320,38,392160,2025-07-27,Small,3.75,1,10320.0
140,Dhaka,23.816398657261374,90.32201788868063,Dhaka,Clothing,T-Shirt,1918,111,212898,2025-05-16,Medium,4.36,6,1918.0
141,Sylhet,24.82827602896224,91.91406444139105,Sylhet,Grocery,Spice Mix,486,66,32076,2025-03-23,Small,4.68,0,486.0
142,Brahmanbaria,23.989166179557273,91.10281183051396,Brahmanbaria,Furniture,Office Chair,29043,18,522774,2025-06-29,Small,4.81,0,29043.0
143,Khagrachhari,23.12619358824946,92.0423147872869,Khagrachhari,Clothing,Handbag,2025,68,137700,2025-05-20,Large,4.14,2,2025.0
144,Comilla,23.511246995494368,91.1518827448336,Comilla,Grocery,Rice (5kg),710,120,85200,2025-07-31,Small,4.33,2,710.0
145,Pirojpur,22.56917120518456,90.23544860542759,Pirojpur,Electronics,Headphones,96146,88,8460848,2025-07-23,Small,3.82,1,96146.0
146,Satkhira,22.643397017037802,88.98008788265079,Satkhira,Grocery,Honey (500g),228,55,12540,2024-11-03,Large,4.63,3,228.0
147,Sylhet,24.862109556329475,91.82744263440536,Sylhet,Beauty,Face Cream,3043,86,261698,2025-09-23,Medium,3.57,1,3043.0
148,Narail,23.103237061115795,89.49671876631972,Narail,HomeAppliances,Air Conditioner,19843,15,297645,2025-05-04,Small,3.71,0,19843.0
149,Chattogram,22.373158472330772,91.80753543356427,Chattogram,Grocery,Milk Powder (400g),566,261,147726,2025-02-21,Medium,4.04,8,566.0
150,Cox's Bazar,21.399777699848254,91.98164923958475,Cox's Bazar,Electronics,Laptop,90135,42,3785670,2024-12-30,Medium,4.31,0,90135.0
151,Sherpur,25.044223805420195,90.01806435148872,Sherpur,Grocery,Milk Powder (400g),152,225,34200,2025-03-18,Medium,3.54,10,152.0
152,Dhaka,23.796844690474547,90.36496586010159,Dhaka,Beauty,Lipstick,1227,105,128835,2024-10-15,Small,3.84,4,1227.0
153,Kushtia,23.8861402048097,89.03140656492234,Kushtia,Clothing,Shoes,1142,91,103922,2024-12-28,Small,3.59,0,1142.0
154,Habiganj,24.39829455886712,91.36098641656619,Habiganj,Sports,Treadmill,23428,43,1007404,2025-01-03,Large,5.0,0,23428.0
155,Natore,24.365357770616118,89.08734917965188,Natore,Furniture,Bookshelf,5895,16,94320,2025-02-25,Medium,3.29,0,5895.0
156,Thakurgaon,26.008573857811538,88.53355067343833,Thakurgaon,Clothing,Jacket,4357,122,531554,2025-01-11,Large,4.16,4,4357.0
157,Cox's Bazar,21.371558811948564,92.02486951861877,Cox's Bazar,Electronics,Smartphone,122809,54,6631686,2025-07-21,Small,5.0,0,122809.0
158,Rajshahi,24.342660918202586,88.59569328814207,Rajshahi,Sports,Dumbbell Set,13297,36,478692,2025-07-21,Small,4.65,1,13297.0
159,Bandarban,22.288744738404343,92.26889149237196,Bandarban,Clothing,Sunglasses,2324,66,153384,2025-05-22,Small,3.44,1,2324.0
160,Mymensingh,24.88778658460831,90.33947115946403,Mymensingh,Clothing,T-Shirt,2033,134,272422,2025-05-22,Small,5.0,1,2033.0
161,Rajshahi,24.38275047062515,88.73133603568185,Rajshahi,Clothing,Sunglasses,1695,68,115260,2024-12-02,Large,4.0,1,1695.0
162,Dhaka,23.79268766947055,90.42155073901439,Dhaka,Clothing,Shoes,3425,153,524025,2025-06-18,Medium,3.75,2,3425.0
163,Netrokona,24.891992059879453,90.68411817078744,Netrokona,Grocery,Spice Mix,127,44,5588,2025-07-13,Large,3.74,0,127.0
164,Khulna,22.814022328126384,89.66076546301117,Khulna,Grocery,Sugar (1kg),640,166,106240,2025-08-27,Large,5.0,4,640.0
165,Dhaka,23.741676427560762,90.42118477646211,Dhaka,Electronics,Camera,53500,64,3424000,2025-08-17,Small,3.86,1,53500.0
166,Manikganj,23.849884622751354,89.94818495794533,Manikganj,Beauty,Perfume,1884,86,162024,2024-12-21,Medium,4.17,3,1884.0
167,Jhalokati,22.530841524280117,90.14454505382109,Jhalokati,Grocery,Sugar (1kg),351,239,83889,2025-09-28,Small,4.66,7,351.0
168,Rajshahi,24.442218524767178,88.7357547048632,Rajshahi,Clothing,Dress,573,128,73344,2025-06-11,Medium,3.51,3,573.0
169,Dhaka,23.743415137560508,90.42031406844481,Dhaka,Electronics,Headphones,38307,15,574605,2025-02-02,Small,3.37,1,38307.0
170,Dhaka,23.80469395574498,90.43081859400488,Dhaka,Beauty,Lipstick,3653,55,200915,2025-07-29,Large,4.32,1,3653.0
171,Jessore,23.13902547477945,89.14587959028407,Jessore,Beauty,Perfume,2255,42,94710,2025-09-14,Large,4.38,1,2255.0
172,Rajshahi,24.299235418455613,88.6432397491289,Rajshahi,Clothing,Sunglasses,2736,101,276336,2025-04-23,Medium,4.55,1,2736.0
173,Lalmonirhat,25.948125613046738,89.47171371950408,Lalmonirhat,Electronics,Smartwatch,81089,36,2919204,2025-04-04,Small,3.05,2,81089.0
174,Khagrachhari,23.092522932228594,91.87619267129178,Khagrachhari,Sports,Yoga Mat,14756,9,132804,2025-03-03,Small,4.73,0,14756.0
175,Jhalokati,22.721760431742023,90.13347984456351,Jhalokati,Beauty,Face Cream,2454,101,247854,2024-11-10,Small,4.95,0,2454.0
176,Tangail,24.1886063340314,89.8564459157225,Tangail,Clothing,Shoes,1076,138,148488,2024-11-16,Medium,4.49,1,1076.0
177,Khulna,22.91432335131284,89.49777544502055,Khulna,Furniture,Office Chair,20454,17,347718,2025-08-01,Small,4.36,0,20454.0
178,Dhaka,23.838303528055526,90.45137698263417,Dhaka,Beauty,Face Mask,3175,86,273050,2024-10-12,Small,3.75,2,3175.0
179,Tangail,24.353507039935515,89.9737648415275,Tangail,Electronics,Smartwatch,23120,40,924800,2024-10-12,Small,4.27,0,23120.0
180,Rangpur,25.684018209769217,89.214125492788,Rangpur,Furniture,Dining Set,60097,17,1021649,2024-11-18,Medium,4.0,0,60097.0
181,Dhaka,23.78591226672624,90.30187064181966,Dhaka,HomeAppliances,Air Conditioner,11467,24,275208,2025-05-10,Medium,4.64,0,11467.0
182,Sirajganj,24.478581466161373,89.74043761273333,Sirajganj,Grocery,Tea (250g),395,133,52535,2024-11-01,Medium,4.54,3,395.0
183,Sylhet,24.84268394698914,91.85160302784034,Sylhet,Furniture,Bookshelf,54604,21,1146684,2024-11-14,Large,4.2,0,54604.0
184,Patuakhali,22.344033045750997,90.33006779824589,Patuakhali,Grocery,Cooking Oil (1L),754,77,58058,2025-04-02,Small,3.51,2,754.0
185,Patuakhali,22.381890744300946,90.39037845668325,Patuakhali,Electronics,Headphones,43776,28,1225728,2024-12-28,Small,3.68,0,43776.0
186,Kishoreganj,24.40701341054538,90.7944821575813,Kishoreganj,Clothing,Jacket,4033,38,153254,2025-02-11,Small,2.95,2,4033.0
187,Chattogram,22.227017144981374,91.89028973875124,Chattogram,Grocery,Spice Mix,386,247,95342,2025-02-10,Small,4.75,3,386.0
188,Kushtia,23.856720215123516,89.21253478275318,Kushtia,Grocery,Cooking Oil (1L),386,183,70638,2024-11-26,Medium,4.03,5,386.0
189,Jessore,23.187902647156072,89.1492074464206,Jessore,Furniture,Bookshelf,65321,14,914494,2025-09-11,Medium,4.14,1,65321.0
190,Dhaka,23.895012591133675,90.36842710539561,Dhaka,Clothing,Handbag,1209,63,76167,2025-05-24,Small,4.17,1,1209.0
191,Rajshahi,24.312803297452003,88.68259972053363,Rajshahi,Grocery,Tea (250g),510,237,120870,2025-04-28,Large,5.0,6,510.0
192,Feni,22.88359022445308,91.33509690940745,Feni,Clothing,T-Shirt,511,94,48034,2025-03-01,Medium,3.28,6,511.0
193,Sylhet,25.022486135338394,91.90333813461822,Sylhet,Grocery,Tea (250g),542,227,123034,2025-09-10,Medium,3.67,5,542.0
194,Dhaka,23.840193304909807,90.5037119230817,Dhaka,Clothing,Jacket,2666,103,274598,2025-08-19,Small,3.98,3,2666.0
195,Brahmanbaria,23.966410522685692,91.1618410689803,Brahmanbaria,Furniture,Bed,7572,32,242304,2025-08-04,Medium,3.71,0,7572.0
